station_name,station_id,lat,lng,_merge
Columbia St & Degraw St,4422.04,40.6859296,-74.00242364,both
Columbia St & Kane St,4422.05,40.68763155,-74.0016256,both
Lewis Ave & Madison St,4425.02,40.686312,-73.935775,both
Cumberland St & Lafayette Ave,4428.02,40.68753406,-73.97265183,left_only
Central Ave & Decatur St,4432.10,40.6882,-73.90798,both
Monroe St & Tompkins Ave,4434.06,40.686203,-73.944694,both
3 Ave & Schermerhorn St,4437.01,40.68683208,-73.9796772,both
Nevins St & Schermerhorn St,4437.09,40.68737247650719,-73.98176059126854,both
Yankee Ferry Terminal,4440.02,40.68706579875912,-74.01675585121666,both
Broadway & Hancock St,4441.06,40.68663,-73.9168,both
Bergen St & Smith St,4446.01,40.6867443,-73.99063168,both
Pacific St & Smith St,4446.03,40.687880939612775,-73.98939281702042,left_only
Dean St & Hoyt St,4446.05,40.6864442,-73.98759104,both
Putnam Ave & Ralph Ave,4450.06,40.68705,-73.92338,left_only
Lafayette Ave & Classon Ave,4452.01,40.68900443,-73.96023854,both
Lexington Ave & Classon Ave,4452.03,40.68676793,-73.95928168,left_only
Congress St & Clinton St,4455.10,40.68825516598005,-73.99545192718506,both
Kane St & Clinton St,4455.11,40.6861758,-73.99645295,left_only
Stuyvesant Ave & Gates Ave,4458.06,40.68834,-73.93306,left_only
Clermont Ave & Lafayette Ave,4461.01,40.68764484,-73.96968902,left_only
DeKalb Ave & Vanderbilt Ave,4461.04,40.68940747,-73.96885458,both
Monroe St & Marcus Garvey Blvd,4467.03,40.686722,-73.938988,left_only
Lafayette Ave & Ft Greene Pl,4470.09,40.68700231292619,-73.97664964199066,left_only
Halsey St & Evergreen Ave,4474.01,40.68858,-73.91227,left_only
Marcy Ave & Lafayette Ave,4476.03,40.6900815,-73.947915,left_only
Schermerhorn St & Hoyt St,4479.10,40.6886263,-73.9851911,left_only
Broadway & Madison St,4483.10,40.68822,-73.91966,left_only
Court St & State St,4488.08,40.6902375,-73.99203074,left_only
Monroe St & Patchen Ave,4491.09,40.68814,-73.92693,both
Lafayette Ave & St James Pl,4494.04,40.68851534,-73.9647628,both
Congress St & Hicks St,4497.09,40.6893952,-73.9995126,both
Lexington Ave & Stuyvesant Ave,4500.07,40.68973,-73.93353,both
Wilson Ave & Moffat St,4507.07,40.68906,-73.90506,left_only
Greene Ave & Throop Ave,4510.04,40.6894932,-73.942061,both
DeKalb Ave & Hudson Ave,4513.06,40.689888,-73.981013,left_only
Ashland Pl & Dekalb Ave,4513.09,40.690065,-73.978776,both
Jefferson Ave & Evergreen Ave,4517.03,40.68989,-73.91458,left_only
Greene Ave & Nostrand Ave,4519.02,40.6883337,-73.950916,left_only
Kosciuszko St & Nostrand Ave,4519.04,40.69072549,-73.95133465,both
State St & Smith St,4522.07,40.68917,-73.9886,both
Grove St & Broadway,4526.01,40.69047,-73.923511,left_only
DeKalb Ave & Franklin Ave,4528.01,40.69064807082943,-73.95746178925037,both
Henry St & Atlantic Ave,4531.05,40.69089272,-73.99612349,left_only
Lewis Ave & Greene Ave,4543.07,40.68995,-73.9365,left_only
DeKalb Ave & S Portland Ave,4546.04,40.68981035,-73.97493121,left_only
Washington Park,4546.05,40.6917823,-73.9737299,left_only
Central Ave & Covert St,4550.05,40.68929,-73.90951,left_only
Kosciuszko St & Tompkins Ave,4553.04,40.69128258,-73.9452416,left_only
Albee Square W & Fulton St,4556.08,40.69068758614303,-73.98347854614258,left_only
Madison St & Evergreen Ave,4560.01,40.69122,-73.91693,both
Schermerhorn St & Court St,4565.07,40.6910363748993,-73.99201065301895,both
Van Buren St & Broadway,4568.01,40.692,-73.92617,left_only
Lafayette Ave & Stuyvesant Ave,4576.11,40.6919925157634,-73.9325501024723,left_only
Knickerbocker Ave & Moffat St,4582.08,40.690434,-73.903737,left_only
Willoughby St & Ashland Pl,4587.02,40.69178,-73.97877,both
Soissons Landing,4590.01,40.69231660719192,-74.01486575603485,left_only
Central Ave & Weirfield St,4591.04,40.69055,-73.91181,left_only
Duffield St & Willoughby St,4596.05,40.69221589,-73.9842844,both
Lawrence St & Willoughby St,4596.09,40.69236178,-73.98631746,both
Bushwick Ave & Linden St,4600.09,40.69146,-73.92146,left_only
Clinton St & Joralemon St,4605.04,40.69239502,-73.99337909,left_only
Broadway & Kosciuszko St,4608.01,40.69329,-73.92852,both
Willoughby Ave & Hall St,4611.03,40.69196035,-73.96536851,both
Atlantic Ave & Furman St,4614.04,40.69165183,-73.9999786,both
